Distance,Intensity
118.045,65521.0703
118.131,65521.5703
118.218,65523.0000
118.305,65531.7969
118.391,65518.1641
118.478,65516.2539
118.565,65506.5391
118.651,65512.1797
118.738,65508.4375
118.825,65511.8828
118.911,65506.9648
118.998,65500.6914
119.085,65495.0000
119.171,65488.7383
119.258,65491.6641
119.345,65499.1133
119.431,65494.3711
119.518,65492.6133
119.605,65502.3789
119.691,65495.7461
119.778,65500.1172
119.865,65492.0195
119.951,65490.7852
120.038,65498.9297
120.125,65510.0430
120.211,65507.6172
120.298,65519.4648
120.385,65511.8359
120.471,65504.1562
120.558,65516.9883
120.645,65516.1172
